Date,Forecasted_CIF_Value(N),Confidence_Interval_Lower,Confidence_Interval_Upper,Forecasted_CIF_Value_Adjusted,Year,Month
2022-04-30,67920424957.26954,56352426631.960106,79246876069.38785,59769973962.397194,2022,4
2022-05-31,67999456064.01467,57513987034.253296,79666711779.8963,59839521336.33291,2022,5
2022-06-30,68075937780.219635,56862830476.88245,79980425772.04147,59906825246.59328,2022,6
2022-07-31,68154968886.96477,57169478254.00725,80072610226.93233,59976372620.529,2022,7
2022-08-31,68233999993.70989,57208039897.54867,80379190796.6501,60045919994.46471,2022,8
2022-09-30,68310481709.914856,57013611967.63395,79546830211.13043,60113223904.725075,2022,9
2022-10-31,68389512816.65999,56730248698.22028,79187609473.08983,60182771278.66079,2022,10
2022-11-30,68465994532.864944,57685853641.119156,79790481924.86539,60250075188.92115,2022,11
2022-12-31,68545025639.61007,56574953551.831856,79529144257.85767,60319622562.856865,2022,12
2023-01-31,68624056746.3552,57982712472.85779,81373865605.6131,60389169936.79258,2023,1
2023-02-28,68695439681.479836,57418038961.683655,79214219141.36116,60451986919.702255,2023,2
2023-03-31,68774470788.22496,57215303129.97567,79941224139.6529,60521534293.63796,2023,3
2023-04-30,68850952504.42993,57342776786.68458,79738465809.78053,60588838203.89834,2023,4
2023-05-31,68929983611.17506,57096128527.96436,80493696418.23735,60658385577.83405,2023,5
2023-06-30,69006465327.38002,57215574549.40683,80686282488.7513,60725689488.09442,2023,6
2023-07-31,69085496434.12515,56760384311.38353,80110221043.17296,60795236862.030136,2023,7
2023-08-31,69164527540.87029,57807600552.77079,80551301417.94037,60864784235.96585,2023,8
2023-09-30,69241009257.07524,58081312154.740005,80567387787.90167,60932088146.22621,2023,9
2023-10-31,69320040363.82037,58356775831.25844,81677356326.57378,61001635520.16193,2023,10
2023-11-30,69396522080.02534,58206980390.0563,81154757218.69464,61068939430.4223,2023,11
2023-12-31,69475553186.77046,57947021954.07984,81108423557.1712,61138486804.35801,2023,12
2024-01-31,69554584293.5156,58000742090.751595,80480351799.80754,61208034178.293724,2024,1
2024-02-29,69628516619.18039,58379640950.76857,81242911269.7492,61273094624.878746,2024,2
2024-03-31,69707547725.92552,58246982752.814285,81080710212.954,61342641998.81446,2024,3
2024-04-30,69784029442.13048,59089946696.58299,80797031275.83713,61409945909.07482,2024,4
2024-05-31,69863060548.87561,59461338182.04125,81517325900.51624,61479493283.01054,2024,5
2024-06-30,69939542265.08058,59664812081.165955,81338369589.23672,61546797193.27091,2024,6
2024-07-31,70018573371.8257,59189478183.44461,80958137780.0982,61616344567.20661,2024,7
2024-08-31,70097604478.57083,58536939508.9683,80876217008.14627,61685891941.142334,2024,8
2024-09-30,70174086194.7758,58287148748.91096,81022422942.17996,61753195851.40271,2024,9
2024-10-31,70253117301.52092,57445646045.12491,81170104798.173,61822743225.33841,2024,10
2024-11-30,70329599017.72588,58208289808.16837,81653431158.81723,61890047135.59877,2024,11
2024-12-31,70408630124.47101,58418621172.49696,81177659339.18304,61959594509.534485,2024,12
